strain                  	 microbe   	 date      	 region       	 country      	 latitude 	 longitude  	 host
Ankara-TgH102001        	 Toxoplasma	 1972-XX-XX	 Asia         	 Turkey       	 39.936944	 32.846944  	 Human (congenital)
ENVL-2002-MAC           	 Toxoplasma	 2002-XX-XX	 Caribbean    	 Barbados     	 13.15055 	 -59.5461   	 Macaque (Cynomolgus sp)
FR-OVI-ARI021-TgA32088  	 Toxoplasma	 2007-XX-XX	 Europe       	 France       	 44.158055	 6.084166   	 Sheep (Ovis aries)
FR-OVI-ARI029-TgA32095  	 Toxoplasma	 2007-XX-XX	 Europe       	 France       	 44.405   	 4.9388     	 Sheep (Ovis aries)
FR-OVI-ARI042-TgA32108  	 Toxoplasma	 2007-XX-XX	 Europe       	 France       	 44.4422  	 1.546944   	 Sheep (Ovis aries)
FR-OVI-ARI050-TgA32116  	 Toxoplasma	 2007-XX-XX	 Europe       	 France       	 43.268055	 -0.37944   	 Sheep (Ovis aries)
GAB3-GAL-DOM02-TgA105001	 Toxoplasma	 2007-XX-XX	 Africa       	 Gabon        	 0.36838  	 9.48341    	 Chicken (Gallus gallus domesticus)
GAB3-GAL-DOM11-TgA105043	 Toxoplasma	 2007-XX-XX	 Africa       	 Gabon        	 0.41103  	 9.43892    	 Chicken (Gallus gallus domesticus)
GAB5-GAL-DOM03-TgA105055	 Toxoplasma	 2007-XX-XX	 Africa       	 Gabon        	 -1.63918 	 13.58253   	 Chicken (Gallus gallus domesticus)
GUY-CAN-FAM-07-TgA18006 	 Toxoplasma	 2009-XX-XX	 South America	 French Guiana	 4.726325 	 -52.326405 	 Dog (Canis lupus familiaris)
TgCatBr60               	 Toxoplasma	 2003-XX-XX	 South America	 Brazil       	 -20.32139	 -48.31222  	 Cat (Felis silvestris catus)
TgCatCHn01              	 Toxoplasma	 2014-XX-XX	 Asia         	 China        	 35.410277	 113.9747222	 Cat (Felis silvestris catus)
TgCatCZg02              	 Toxoplasma	 2014-XX-XX	 Asia         	 China        	 28.979166	 120.13166  	 Cat (Felis silvestris catus)
TgCatPr06               	 Toxoplasma	 2004-XX-XX	 Caribbean    	 Puerto Rico  	 18.08139 	 -67.89444  	 Cat (Felis silvestris catus)
TgCatPr08               	 Toxoplasma	 2004-XX-XX	 Caribbean    	 Puerto Rico  	 18.08139 	 -67.89444  	 Cat (Felis silvestris catus)
TgCkAt08                	 Toxoplasma	 2004-XX-XX	 Europe       	 Austria      	 46.87194 	 15.90278   	 Chicken (Gallus gallus domesticus)
TgCkAt20                	 Toxoplasma	 2004-XX-XX	 Europe       	 Austria      	 46.82417 	 15.3175    	 Chicken (Gallus gallus domesticus)
TgCkAt27                	 Toxoplasma	 2004-XX-XX	 Europe       	 Austria      	 46.72583 	 15.23806   	 Chicken (Gallus gallus domesticus)
TgCkBr181               	 Toxoplasma	 2007-XX-XX	 South America	 Brazil       	 -4.97    	 -39.01     	 Chicken (Gallus gallus domesticus)
TgCkPr03                	 Toxoplasma	 2005-XX-XX	 Europe       	 Portugal     	 41.28056 	 -8.66833   	 Chicken (Gallus gallus domesticus)
TgCkPr11                	 Toxoplasma	 2005-XX-XX	 Europe       	 Portugal     	 40.68917 	 -8.47972   	 Chicken (Gallus gallus domesticus)
TgCpBr18                	 Toxoplasma	 2005-XX-XX	 South America	 Brazil       	 -20.47   	 -49.77     	 Capybara (Hydrochaeris hydrochaeris)
TgCtwh14                	 Toxoplasma	 2013-XX-XX	 Asia         	 China        	 30.5525  	 114.27139  	 Cat (Felis silvestris catus)
TgGtEt01                	 Toxoplasma	 2011-XX-XX	 Africa       	 Ethiopia     	 8.953888 	 37.859722  	 Goat (Capra aegagrus hircus)
TgGtEt02                	 Toxoplasma	 2011-XX-XX	 Africa       	 Ethiopia     	 8.953888 	 37.859722  	 Goat (Capra aegagrus hircus)
TgGtEt04                	 Toxoplasma	 2011-XX-XX	 Africa       	 Ethiopia     	 8.953888 	 37.859722  	 Goat (Capra aegagrus hircus)
TgGtEt14                	 Toxoplasma	 2011-XX-XX	 Africa       	 Ethiopia     	 8.98     	 39.927499  	 Goat (Capra aegagrus hircus)
TgH00009                	 Toxoplasma	 1997-XX-XX	 South America	 French Guiana	 4.3577   	 -53.23055  	 Human / Amazonian toxoplasmosis
